# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
108,463001,1000008,-1
108,463003,1000008,-1
109,463031,1000020,-1
109,463033,1000020,-1
110,463031,1000008,-1
110,463033,1000008,-1
111,463031,1000012,-1
111,463033,1000012,-1
114,462997,1000012,10
114,462999,1000012,10
114,463001,1000012,10
114,463003,1000012,10
116,463237,1000020,-1
116,463239,1000020,-1
117,463237,1000008,-1
117,463239,1000008,-1
118,463241,1000020,-1
119,463241,1000008,-1
120,463237,1000012,10
120,463239,1000012,10
121,463241,1000012,-1
122,463131,1000020,-1
122,463133,1000020,-1
122,463135,1000020,-1
122,463137,1000020,-1
123,463131,1000008,-1
123,463133,1000008,-1
123,463135,1000008,-1
123,463137,1000008,-1
124,463139,1000020,-1
125,463139,1000008,-1
126,463131,1000012,10
126,463133,1000012,10
126,463135,1000012,10
126,463137,1000012,10
127,463139,1000012,-1
128,462989,1000020,-1
128,462991,1000020,-1
128,462993,1000020,-1
128,462995,1000020,-1
129,462989,1000008,-1
129,462991,1000008,-1
129,462993,1000008,-1
129,462995,1000008,-1
132,462989,1000012,10
132,462991,1000012,10
132,462993,1000012,10
132,462995,1000012,10
134,463141,1000020,-1
134,463143,1000020,-1
134,463145,1000020,-1
135,463141,1000008,-1
135,463143,1000008,-1
135,463145,1000008,-1
136,463141,1000012,-1
136,463143,1000012,-1
136,463145,1000012,-1
137,463017,1000020,-1
138,463017,1000008,-1
141,463017,1000012,10
143,462981,1000020,-1
143,462983,1000020,-1
143,462985,1000020,-1
144,462981,1000008,-1
144,462983,1000008,-1
144,462985,1000008,-1
145,462987,1000020,-1
146,462987,1000008,-1
147,462981,1000012,10
147,462983,1000012,10
147,462985,1000012,10
148,462987,1000012,-1
149,463147,1000020,-1
150,463147,1000008,-1
151,463149,1000020,-1
152,463149,1000008,-1
153,463147,1000012,10
154,463149,1000012,-1
155,463603,1000020,-1
155,463605,1000020,-1
155,463607,1000020,-1
156,463603,1000008,-1
156,463605,1000008,-1
156,463607,1000008,-1
157,463609,1000020,-1
158,463609,1000008,-1
159,463603,1000012,10
159,463605,1000012,10
159,463607,1000012,10
160,463609,1000012,-1
161,463245,1000020,-1
162,463245,1000008,-1
163,463245,1000012,-1
164,463253,1000020,-1
164,463255,1000020,-1
165,463253,1000008,-1
165,463255,1000008,-1
166,463253,1000012,-1
166,463255,1000012,-1
167,463261,1000020,-1
168,463261,1000008,-1
169,463263,1000020,-1
170,463263,1000008,-1
171,463261,1000012,10
172,463263,1000012,-1
173,463265,1000020,-1
174,463265,1000008,-1
175,463267,1000020,-1
176,463267,1000008,-1
177,463265,1000012,10
